symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
SRF,INE647A01010,2025-04-01,NSE,EQ,EQ,sell,false,4.000000,2907.699951,600533576,1300000002505249,2025-04-01T09:19:50
BDL,INE171Z01026,2025-04-21,NSE,EQ,EQ,buy,false,10.000000,1417.400024,393811,1000000002339650,2025-04-21T09:20:01
LLOYDSME,INE281B01032,2025-04-21,NSE,EQ,EQ,buy,false,10.000000,1309.500000,401339507,1200000008948889,2025-04-21T09:35:58
KIRIINDUS,INE415I01015,2025-04-21,NSE,EQ,EQ,buy,false,21.000000,654.299988,401384671,1200000009296202,2025-04-21T09:37:03
KIRIINDUS,INE415I01015,2025-04-21,NSE,EQ,EQ,sell,false,21.000000,637.950012,401674996,1200000011514765,2025-04-21T09:44:10
CHENNPETRO,INE178A01016,2025-04-21,NSE,EQ,EQ,buy,false,22.000000,635.700012,1641487,1000000012506544,2025-04-21T09:55:41
LLOYDSME,INE281B01032,2025-04-22,BSE,EQ,A,buy,false,6.000000,1319.699951,2321500,1745294458173193504,2025-04-22T09:35:35
THANGAMAYL,INE085J01014,2025-04-22,NSE,EQ,EQ,sell,false,2.000000,2177.100098,601838703,1300000012060101,2025-04-22T09:48:07
THANGAMAYL,INE085J01014,2025-04-22,NSE,EQ,EQ,sell,false,1.000000,2177.100098,601838702,1300000012060101,2025-04-22T09:48:07
CHENNPETRO,INE178A01016,2025-04-25,NSE,EQ,EQ,sell,false,22.000000,619.799988,2759876,1000000009064349,2025-04-25T09:39:39
LLOYDSME,INE281B01032,2025-04-25,BSE,EQ,A,sell,false,5.000000,1286.699951,2901600,1745553862591298587,2025-04-25T09:40:15
LLOYDSME,INE281B01032,2025-04-25,BSE,EQ,A,sell,false,1.000000,1286.699951,2901800,1745553862591298587,2025-04-25T09:40:15
LLOYDSME,INE281B01032,2025-04-25,NSE,EQ,EQ,sell,false,1.000000,1276.699951,402325371,1200000016016739,2025-04-25T09:51:24
LLOYDSME,INE281B01032,2025-04-25,NSE,EQ,EQ,sell,false,7.000000,1276.900024,402325370,1200000016016739,2025-04-25T09:51:24
LLOYDSME,INE281B01032,2025-04-25,NSE,EQ,EQ,sell,false,2.000000,1276.599976,402325372,1200000016016739,2025-04-25T09:51:24
BDL,INE171Z01026,2025-04-25,NSE,EQ,EQ,sell,false,10.000000,1383.099976,2336707,1000000017042104,2025-04-25T10:05:38
MOTILALOFS,INE338I01027,2025-05-26,NSE,EQ,EQ,buy,false,23.000000,790.000000,400348881,1200000002263961,2025-05-26T09:19:10
HUDCO,INE031A01017,2025-05-26,NSE,EQ,EQ,buy,false,78.000000,233.220001,200703356,1100000004237014,2025-05-26T09:22:09
UJJIVANSFB,INE551W01018,2025-05-26,NSE,EQ,EQ,buy,false,395.000000,45.549999,600816606,1300000004957579,2025-05-26T09:24:43
UJJIVANSFB,INE551W01018,2025-05-26,NSE,EQ,EQ,sell,false,395.000000,44.549999,604483921,1300000037663352,2025-05-26T11:51:55
HUDCO,INE031A01017,2025-05-27,NSE,EQ,EQ,buy,false,70.000000,239.279999,200504000,1100000003302658,2025-05-27T09:20:18
VMM,INE01EA01019,2025-05-28,NSE,EQ,EQ,buy,false,142.000000,127.510002,600247589,1300000001439882,2025-05-28T09:16:58
VMM,INE01EA01019,2025-05-28,NSE,EQ,EQ,buy,false,2.000000,127.500000,600247588,1300000001439882,2025-05-28T09:16:58
MANAPPURAM,INE522D01027,2025-05-28,NSE,EQ,EQ,buy,false,36.000000,233.869995,400341810,1200000002505877,2025-05-28T09:20:06
MANAPPURAM,INE522D01027,2025-05-28,NSE,EQ,EQ,buy,false,41.000000,233.869995,400341809,1200000002505877,2025-05-28T09:20:06
HUDCO,INE031A01017,2025-05-28,NSE,EQ,EQ,buy,false,58.000000,243.250000,200665317,1100000004376708,2025-05-28T09:22:26
JYOTICNC,INE980O01024,2025-05-30,NSE,EQ,EQ,buy,false,1.000000,1258.500000,200680315,1100000004418534,2025-05-30T09:23:41
JYOTICNC,INE980O01024,2025-05-30,NSE,EQ,EQ,buy,false,10.000000,1258.500000,200680316,1100000004418534,2025-05-30T09:23:41
JYOTICNC,INE980O01024,2025-05-30,NSE,EQ,EQ,buy,false,2.000000,1258.800049,200680319,1100000004418534,2025-05-30T09:23:41
JYOTICNC,INE980O01024,2025-05-30,NSE,EQ,EQ,buy,false,1.000000,1258.699951,200680318,1100000004418534,2025-05-30T09:23:41
JYOTICNC,INE980O01024,2025-05-30,NSE,EQ,EQ,buy,false,1.000000,1258.599976,200680317,1100000004418534,2025-05-30T09:23:41
ITCHOTELS,INE379A01028,2025-05-30,NSE,EQ,EQ,buy,false,90.000000,211.899994,201064247,1100000007200018,2025-05-30T09:31:24
HUDCO,INE031A01017,2025-05-30,NSE,EQ,EQ,sell,false,11.000000,236.750000,202163098,1100000015490396,2025-05-30T10:00:27
HUDCO,INE031A01017,2025-05-30,NSE,EQ,EQ,sell,false,47.000000,236.750000,202163099,1100000015490396,2025-05-30T10:00:27
MANAPPURAM,INE522D01027,2025-05-30,NSE,EQ,EQ,buy,false,2.000000,238.960007,406378511,1200000060130114,2025-05-30T14:11:07
MANAPPURAM,INE522D01027,2025-05-30,NSE,EQ,EQ,buy,false,73.000000,238.960007,406378512,1200000060130114,2025-05-30T14:11:07
MOTILALOFS,INE338I01027,2025-05-30,NSE,EQ,EQ,buy,false,10.000000,807.200012,406519275,1200000061323694,2025-05-30T14:17:52
MANAPPURAM,INE522D01027,2025-06-04,NSE,EQ,EQ,sell,false,57.000000,233.270004,403282861,1200000032023966,2025-06-04T11:35:59
MANAPPURAM,INE522D01027,2025-06-04,NSE,EQ,EQ,sell,false,1.000000,233.270004,403282860,1200000032023966,2025-06-04T11:35:59
MANAPPURAM,INE522D01027,2025-06-04,NSE,EQ,EQ,sell,false,17.000000,233.270004,403282862,1200000032023966,2025-06-04T11:35:59
NETWEB,INE0NT901020,2025-06-06,NSE,EQ,EQ,buy,false,5.000000,2027.400024,400398929,1200000002919030,2025-06-06T09:20:38
NETWEB,INE0NT901020,2025-06-06,NSE,EQ,EQ,buy,false,3.000000,2027.300049,400398928,1200000002919030,2025-06-06T09:20:38
JYOTICNC,INE980O01024,2025-06-06,NSE,EQ,EQ,sell,false,15.000000,1227.099976,203807041,1100000032688365,2025-06-06T11:05:28
ITCHOTELS,INE379A01028,2025-06-06,NSE,EQ,EQ,buy,false,30.000000,218.500000,207817515,1100000066899324,2025-06-06T14:01:47
ITCHOTELS,INE379A01028,2025-06-06,NSE,EQ,EQ,buy,false,1.000000,218.520004,207817516,1100000066899324,2025-06-06T14:01:47
ITCHOTELS,INE379A01028,2025-06-06,NSE,EQ,EQ,buy,false,60.000000,218.529999,207817517,1100000066899324,2025-06-06T14:01:47
NETWEB,INE0NT901020,2025-06-06,NSE,EQ,EQ,sell,false,8.000000,1966.099976,408096419,1200000075986239,2025-06-06T15:21:53
BANCOINDIA,INE213C01025,2025-06-09,NSE,EQ,EQ,buy,false,26.000000,579.950012,463911,1000000002598550,2025-06-09T09:19:31
BANCOINDIA,INE213C01025,2025-06-09,NSE,EQ,EQ,sell,false,10.000000,565.500000,4903839,1000000041327702,2025-06-09T12:34:30
BANCOINDIA,INE213C01025,2025-06-09,NSE,EQ,EQ,sell,false,1.000000,565.500000,4903838,1000000041327702,2025-06-09T12:34:30
BANCOINDIA,INE213C01025,2025-06-09,NSE,EQ,EQ,sell,false,3.000000,565.500000,4903840,1000000041327702,2025-06-09T12:34:30
BANCOINDIA,INE213C01025,2025-06-09,NSE,EQ,EQ,sell,false,12.000000,565.500000,4903837,1000000041327702,2025-06-09T12:34:30
IRCON,INE962Y01021,2025-06-10,NSE,EQ,EQ,buy,false,90.000000,221.970001,200452762,1100000002597232,2025-06-10T09:18:35
HEG,INE545A01024,2025-06-10,NSE,EQ,EQ,buy,false,9.000000,532.950012,200824198,1100000005144380,2025-06-10T09:24:01
IRCON,INE962Y01021,2025-06-10,NSE,EQ,EQ,sell,false,79.000000,215.660004,201521621,1100000010260194,2025-06-10T09:37:38
IRCON,INE962Y01021,2025-06-10,NSE,EQ,EQ,sell,false,11.000000,215.660004,201521622,1100000010260194,2025-06-10T09:37:38
HPL,INE495S01016,2025-06-11,NSE,EQ,EQ,buy,false,8.000000,593.349976,200780148,1100000005388829,2025-06-11T09:26:07
HPL,INE495S01016,2025-06-11,NSE,EQ,EQ,buy,false,25.000000,593.250000,200780147,1100000005388829,2025-06-11T09:26:07
HPL,INE495S01016,2025-06-11,NSE,EQ,EQ,sell,false,1.000000,576.200012,205689601,1100000044271603,2025-06-11T12:37:45
HPL,INE495S01016,2025-06-11,NSE,EQ,EQ,sell,false,29.000000,576.200012,205713474,1100000044271603,2025-06-11T12:37:45
HPL,INE495S01016,2025-06-11,NSE,EQ,EQ,sell,false,1.000000,576.200012,205688862,1100000044271603,2025-06-11T12:37:45
HPL,INE495S01016,2025-06-11,NSE,EQ,EQ,sell,false,1.000000,576.250000,205688861,1100000044271603,2025-06-11T12:37:45
