symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BALUFORGE,INE011E01029,2024-09-09,NSE,EQ,EQ,buy,false,25.000000,794.000000,544883,1000000001897055,2024-09-09T09:21:43
SEQUENT,INE807F01027,2024-09-10,NSE,EQ,EQ,buy,false,170.000000,183.289993,601262868,1300000003588434,2024-09-10T09:33:32
SEQUENT,INE807F01027,2024-09-11,BSE,EQ,A,sell,false,10.000000,176.050003,118737900,1726040132414168272,2024-09-11T13:08:20
SEQUENT,INE807F01027,2024-09-11,BSE,EQ,A,sell,false,160.000000,176.000000,118738300,1726040132414168272,2024-09-11T13:08:20
OSWALGREEN,INE143A01010,2024-09-12,NSE,EQ,EQ,buy,false,196.000000,51.799999,674676,1000000003093325,2024-09-12T09:27:57
JGCHEM,INE0MB501011,2024-09-12,NSE,EQ,EQ,buy,false,23.000000,437.500000,401272216,1200000006391086,2024-09-12T09:34:22
OSWALGREEN,INE143A01010,2024-09-12,NSE,EQ,EQ,sell,false,13.000000,48.450001,6229630,1000000043424087,2024-09-12T14:43:05
OSWALGREEN,INE143A01010,2024-09-12,NSE,EQ,EQ,sell,false,26.000000,48.459999,6229626,1000000043424087,2024-09-12T14:43:05
OSWALGREEN,INE143A01010,2024-09-12,NSE,EQ,EQ,sell,false,2.000000,48.450001,6229629,1000000043424087,2024-09-12T14:43:05
OSWALGREEN,INE143A01010,2024-09-12,NSE,EQ,EQ,sell,false,150.000000,48.459999,6229627,1000000043424087,2024-09-12T14:43:05
OSWALGREEN,INE143A01010,2024-09-12,NSE,EQ,EQ,sell,false,5.000000,48.450001,6229628,1000000043424087,2024-09-12T14:43:05
NELCO,INE045B01015,2024-09-13,NSE,EQ,EQ,buy,false,11.000000,1242.000000,400287894,1200000001472495,2024-09-13T09:17:37
NELCO,INE045B01015,2024-09-13,NSE,EQ,EQ,buy,false,11.000000,1241.949951,400287893,1200000001472495,2024-09-13T09:17:37
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,3.000000,696.150024,600709823,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,2.000000,696.200012,600709824,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,10.000000,695.599976,600709817,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,1.000000,695.849976,600709821,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,1.000000,695.849976,600709818,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,2.000000,696.450012,600709825,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,23.000000,695.900024,600709822,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,1.000000,695.849976,600709819,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,16.000000,696.549988,600709826,1300000003408642,2024-09-13T09:22:50
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,buy,false,1.000000,695.849976,600709820,1300000003408642,2024-09-13T09:22:50
RKFORGE,INE399G01023,2024-09-13,NSE,EQ,EQ,buy,false,19.000000,1006.900024,601067017,1300000005288673,2024-09-13T09:28:54
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,2.000000,678.250000,601707936,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,1.000000,678.099976,601707940,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,10.000000,678.099976,601707938,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,10.000000,678.299988,601707935,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,6.000000,678.349976,601707934,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,1.000000,678.099976,601707939,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,7.000000,678.200012,601707937,1300000008811240,2024-09-13T09:42:15
ZOTA,INE358U01012,2024-09-13,NSE,EQ,EQ,sell,false,23.000000,678.099976,601707941,1300000008811240,2024-09-13T09:42:15
ARROWGREEN,INE570D01018,2024-09-13,NSE,EQ,EQ,buy,false,15.000000,886.650024,2095893,1000000013426815,2024-09-13T10:20:43
ARROWGREEN,INE570D01018,2024-09-13,NSE,EQ,EQ,buy,false,7.000000,887.099976,2095894,1000000013426815,2024-09-13T10:20:43
ARROWGREEN,INE570D01018,2024-09-13,NSE,EQ,EQ,buy,false,2.000000,886.599976,2095892,1000000013426815,2024-09-13T10:20:43
BSE,INE118H01025,2024-09-16,NSE,EQ,EQ,buy,false,6.000000,3070.699951,1426049,1000000008535421,2024-09-16T09:46:58
NELCO,INE045B01015,2024-09-16,NSE,EQ,EQ,sell,false,22.000000,1200.099976,403467668,1200000019699199,2024-09-16T10:37:17
ARROWGREEN,INE570D01018,2024-09-16,NSE,EQ,EQ,sell,false,24.000000,860.150024,3140183,1000000020214448,2024-09-16T10:59:33
RKFORGE,INE399G01023,2024-09-18,NSE,EQ,EQ,sell,false,4.000000,972.200012,604750130,1300000028115097,2024-09-18T12:35:57
RKFORGE,INE399G01023,2024-09-18,NSE,EQ,EQ,sell,false,10.000000,972.200012,604750129,1300000028115097,2024-09-18T12:35:57
RKFORGE,INE399G01023,2024-09-18,NSE,EQ,EQ,sell,false,5.000000,972.200012,604750131,1300000028115097,2024-09-18T12:35:57
RKFORGE,INE399G01023,2024-09-18,NSE,EQ,EQ,buy,false,20.000000,1011.200012,607451901,1300000044736098,2024-09-18T14:41:39
GMBREW,INE075D01018,2024-09-19,NSE,EQ,EQ,buy,false,20.000000,960.000000,200317814,1100000001604107,2024-09-19T09:17:40
THANGAMAYL,INE085J01014,2024-09-19,NSE,EQ,EQ,buy,false,2.000000,2288.449951,601530398,1300000008228252,2024-09-19T09:43:00
THANGAMAYL,INE085J01014,2024-09-19,NSE,EQ,EQ,buy,false,1.000000,2288.449951,601532769,1300000008228252,2024-09-19T09:43:00
THANGAMAYL,INE085J01014,2024-09-19,NSE,EQ,EQ,buy,false,2.000000,2288.449951,601536786,1300000008228252,2024-09-19T09:43:00
GMBREW,INE075D01018,2024-09-19,NSE,EQ,EQ,sell,false,20.000000,926.000000,202883289,1100000016138836,2024-09-19T10:11:31
THANGAMAYL,INE085J01014,2024-09-19,NSE,EQ,EQ,sell,false,5.000000,2211.000000,603353619,1300000015153546,2024-09-19T10:30:25
JGCHEM,INE0MB501011,2024-09-19,BSE,EQ,B,sell,false,23.000000,409.200012,28914300,1726724080923664168,2024-09-19T11:18:51
PRESTIGE,INE811K01011,2024-09-23,NSE,EQ,EQ,buy,false,12.000000,1897.000000,408110777,1200000046330236,2024-09-23T14:09:25
PRESTIGE,INE811K01011,2024-09-24,NSE,EQ,EQ,sell,false,12.000000,1860.099976,402844246,1200000014582279,2024-09-24T10:15:37
GMBREW,INE075D01018,2024-09-25,NSE,EQ,EQ,buy,false,20.000000,970.000000,201304694,1100000003163685,2024-09-25T09:33:55
GMBREW,INE075D01018,2024-09-27,NSE,EQ,EQ,sell,false,20.000000,940.799988,205956199,1100000037212974,2024-09-27T12:57:30
RKFORGE,INE399G01023,2024-10-04,NSE,EQ,EQ,sell,false,10.000000,978.750000,600067171,1300000000370886,2024-10-04T09:15:03
RKFORGE,INE399G01023,2024-10-04,NSE,EQ,EQ,sell,false,5.000000,978.599976,600067186,1300000000370886,2024-10-04T09:15:03
RKFORGE,INE399G01023,2024-10-04,NSE,EQ,EQ,sell,false,2.000000,978.700012,600067173,1300000000370886,2024-10-04T09:15:03
RKFORGE,INE399G01023,2024-10-04,NSE,EQ,EQ,sell,false,3.000000,978.750000,600067172,1300000000370886,2024-10-04T09:15:03
BSE,INE118H01025,2024-10-04,NSE,EQ,EQ,sell,false,3.000000,4152.049805,4809779,1000000030347778,2024-10-04T12:12:51
BALUFORGE,INE011E01029,2024-10-11,BSE,EQ,B,buy,false,15.000000,756.900024,5831300,1728617400003537561,2024-10-11T09:42:00
PREMIERENE,INE0BS701011,2024-10-14,NSE,EQ,EQ,buy,false,6.000000,1133.250000,400280809,1200000001349222,2024-10-14T09:17:43
PREMIERENE,INE0BS701011,2024-10-14,NSE,EQ,EQ,buy,false,14.000000,1133.250000,400280808,1200000001349222,2024-10-14T09:17:43
GRAVITA,INE024L01027,2024-10-14,NSE,EQ,EQ,buy,false,9.000000,2543.000000,200391179,1100000001826872,2024-10-14T09:19:30
MUNJALAU,INE672B01032,2024-10-14,NSE,EQ,EQ,buy,false,35.000000,133.750000,400465294,1200000002300232,2024-10-14T09:20:48
