symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
IDEA,INE669E01016,2024-04-15,NSE,EQ,EQ,buy,false,1900.000000,13.000000,22647918,1100000011193370,2024-04-15T09:44:14
MEGASOFT,INE933B01012,2024-06-10,NSE,EQ,EQ,buy,false,100.000000,67.500000,54347335,1200000039960541,2024-06-10T13:05:47
MEGASOFT,INE933B01012,2024-06-10,NSE,EQ,EQ,buy,false,459.000000,67.470001,54347334,1200000039960541,2024-06-10T13:05:47
MEGASOFT,INE933B01012,2024-06-10,NSE,EQ,EQ,buy,false,1.000000,67.500000,54347336,1200000039960541,2024-06-10T13:05:47
MEGASOFT,INE933B01012,2024-06-10,NSE,EQ,EQ,buy,false,25.000000,67.379997,54347332,1200000039960541,2024-06-10T13:05:47
MEGASOFT,INE933B01012,2024-06-10,NSE,EQ,EQ,buy,false,5.000000,67.389999,54347333,1200000039960541,2024-06-10T13:05:47
SUZLON,INE040H01021,2024-06-10,NSE,EQ,EQ,buy,false,3.000000,47.400002,80708680,1300000047602435,2024-06-10T14:55:59
SUZLON,INE040H01021,2024-06-10,NSE,EQ,EQ,buy,false,1.000000,47.400002,80716874,1300000047654798,2024-06-10T14:56:22
IDEA,INE669E01016,2024-06-24,BSE,EQ,A,sell,false,1000.000000,17.080000,9671200,1719204593577279513,2024-06-24T10:43:32
VINEETLAB,INE505Y01010,2024-06-24,BSE,EQ,B,sell,false,20.000000,61.790001,34805100,1719205025415943019,2024-06-24T10:45:58
BBOX,INE676A01027,2024-07-05,NSE,EQ,EQ,buy,false,35.000000,398.000000,1253300,1000000006423567,2024-07-05T09:36:29
IRCTC,INE335Y01020,2024-07-05,NSE,EQ,EQ,sell,false,1.000000,1026.550049,34590957,1100000054476844,2024-07-05T14:24:29
TCS,INE467B01029,2024-07-05,BSE,EQ,A,sell,false,1.000000,4008.550049,9084500,1720169385955071953,2024-07-05T14:24:45
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,6.000000,378.399994,702649,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,2.000000,378.250000,702645,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,4.000000,378.200012,702642,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,2.000000,378.200012,702644,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,2.000000,378.450012,702650,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,1.000000,378.250000,702646,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,2.000000,378.200012,702643,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,2.000000,378.299988,702647,1000000003260483,2024-07-08T09:24:39
BALUFORGE,INE011E01029,2024-07-08,NSE,EQ,EQ,buy,false,17.000000,378.299988,702648,1000000003260483,2024-07-08T09:24:39
SHARDACROP,INE221J01015,2024-07-08,NSE,EQ,EQ,buy,false,22.000000,524.450012,601840059,1300000006954628,2024-07-08T09:34:06
SHARDACROP,INE221J01015,2024-07-09,NSE,EQ,EQ,sell,false,17.000000,506.500000,606611500,1300000030411090,2024-07-09T12:10:47
SHARDACROP,INE221J01015,2024-07-09,NSE,EQ,EQ,sell,false,5.000000,506.600006,606611499,1300000030411090,2024-07-09T12:10:47
IDEA,INE669E01016,2024-07-09,BSE,EQ,A,sell,false,900.000000,16.920000,16137900,1720506587080109526,2024-07-09T12:13:46
IONEXCHANG,INE570A01022,2024-07-10,NSE,EQ,EQ,buy,false,13.000000,684.000000,201668607,1100000007666434,2024-07-10T09:36:26
IONEXCHANG,INE570A01022,2024-07-10,NSE,EQ,EQ,buy,false,9.000000,684.000000,201667914,1100000007666434,2024-07-10T09:36:26
INDIAGLYCO,INE560A01015,2024-07-10,NSE,EQ,EQ,buy,false,11.000000,958.000000,201767290,1100000008361336,2024-07-10T09:38:07
